Product Name,Image Link,Product Link,average_sentiment,review_count
Advanced Night Repair Multi-Recovery Complex Serum,https://media.ulta.com/i/ulta/2568523?w=1080&h=1080&fmt=auto,https://www.ulta.com/p/advanced-night-repair-multi-recovery-complex-serum-pimprod2016818?sku=2568523#reviews,0.99985,2
Mineral Mattescreen SPF 40,https://media.ulta.com/i/ulta/2589388?w=1080&h=1080&fmt=auto,https://www.ulta.com/p/mineral-mattescreen-spf-40-pimprod2029941?sku=2589388#reviews,0.9996,2
0.3% Retinol Complex Face Serum with Peptides,https://media.ulta.com/i/ulta/2617638?w=1080&h=1080&fmt=auto,https://www.ulta.com/p/03-retinol-complex-face-serum-with-peptides-pimprod2042090?sku=2617638#reviews,1.0,1
1-2-3 Glow! Bestsellers Kit,https://media.ulta.com/i/ulta/2606977?w=1080&h=1080&fmt=auto,https://www.ulta.com/p/1-2-3-glow-bestsellers-kit-pimprod2037911?sku=2606977#reviews,1.0,1
100% Natural Shea Lip Balm 2-Pack,https://media.ulta.com/i/ulta/2565464?w=1080&h=1080&fmt=auto,https://www.ulta.com/p/100-natural-shea-lip-balm-2-pack-pimprod2005917?sku=2565464#reviews,1.0,1
100% Virgin Coconut Oil Daily Hydration Foaming Facial Wash,https://media.ulta.com/i/ulta/2548810?w=1080&h=1080&fmt=auto,https://www.ulta.com/p/100-virgin-coconut-oil-daily-hydration-foaming-facial-wash-pimprod2006120?sku=2548810#reviews,1.0,1
10balm Soothing Cream for Dry & Sensitive Skin,https://media.ulta.com/i/ulta/2551503?w=1080&h=1080&fmt=auto,https://www.ulta.com/p/10balm-soothing-cream-dry-sensitive-skin-pimprod2006897?sku=2551503#reviews,1.0,1
16% Pure Vitamin C Brightening Serum,https://media.ulta.com/i/ulta/2625745?w=1080&h=1080&fmt=auto,https://www.ulta.com/p/16-pure-vitamin-c-brightening-serum-pimprod2046283?sku=2625745#reviews,1.0,1
2 HR Express Self Tanning Mousse Medium,https://media.ulta.com/i/ulta/2522594?w=1080&h=1080&fmt=auto,https://www.ulta.com/p/2-hr-express-self-tanning-mousse-medium-pimprod2000717?sku=2522594#reviews,1.0,1
"2% AHA Exfoliating, Smoothing and Pore Refining Toner",https://media.ulta.com/i/ulta/2615539?w=1080&h=1080&fmt=auto,https://www.ulta.com/p/2-aha-exfoliating-smoothing-pore-refining-toner-pimprod2041559?sku=2615539#reviews,1.0,1
2% Salicylic Acid Early Stage Acne Dot,https://media.ulta.com/i/ulta/2622856?w=1080&h=1080&fmt=auto,https://www.ulta.com/p/2-salicylic-acid-early-stage-acne-dot-pimprod2044203?sku=2622856#reviews,1.0,1
24K Snail Hydrating Serum Mist,https://media.ulta.com/i/ulta/2613428?w=1080&h=1080&fmt=auto,https://www.ulta.com/p/24k-snail-hydrating-serum-mist-pimprod2041075?sku=2613428#reviews,1.0,1
24K Snail Moisture Lock Slug Stick,https://media.ulta.com/i/ulta/2613429?w=1080&h=1080&fmt=auto,https://www.ulta.com/p/24k-snail-moisture-lock-slug-stick-pimprod2041076?sku=2613429#reviews,1.0,1
3 Piece Hydrating Trio Set,https://media.ulta.com/i/ulta/2601414?w=1080&h=1080&fmt=auto,https://www.ulta.com/p/3-piece-hydrating-trio-set-pimprod2034807?sku=2601414#reviews,1.0,1
3-Step Oily + Combination Skin Starter Kit,https://media.ulta.com/i/ulta/2617051?w=1080&h=1080&fmt=auto,https://www.ulta.com/p/3-step-oily-combination-skin-starter-kit-pimprod2042675?sku=2617051#reviews,1.0,1
4-in-1 Tinted Moisturizer Broad Spectrum SPF 20,https://media.ulta.com/i/ulta/2241131?w=1080&h=1080&fmt=auto,https://www.ulta.com/p/4-in-1-tinted-moisturizer-broad-spectrum-spf-20-xlsImpprod4310009?sku=2241131#reviews,1.0,1
A Perfect World SPF 40 Age-Defense Moisturizer with White Tea,https://media.ulta.com/i/ulta/2505527?w=1080&h=1080&fmt=auto,https://www.ulta.com/p/a-perfect-world-spf-40-age-defense-moisturizer-with-white-tea-xlsImpprod15911105?sku=2505527#reviews,1.0,1
A-Gloei Maretinol Oil,https://media.ulta.com/i/ulta/2593504?w=1080&h=1080&fmt=auto,https://www.ulta.com/p/a-gloei-maretinol-oil-pimprod2030820?sku=2593504#reviews,1.0,1
A.G.E. Less Everyday Face Moisturizer,https://media.ulta.com/i/ulta/2554722?w=1080&h=1080&fmt=auto,https://www.ulta.com/p/age-less-everyday-face-moisturizer-xlsImpprod5780088?sku=2554722#reviews,1.0,1
AGE REVERSE+ Starter Set,https://media.ulta.com/i/ulta/2627332?w=1080&h=1080&fmt=auto,https://www.ulta.com/p/age-reverse-starter-set-pimprod2046163?sku=2627332#reviews,1.0,1
AGE REVERSE+ Toning Neck Cream,https://media.ulta.com/i/ulta/2627656?w=1080&h=1080&fmt=auto,https://www.ulta.com/p/age-reverse-toning-neck-cream-pimprod2046124?sku=2627656#reviews,1.0,1
